	label	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	CellCharter_2	CellCharter_3	CellCharter_1	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	SpaceFlow_4	STAGATE_12	STAGATE_11	STAGATE_10	STAGATE_13
label	0.0	0.12118436963109441	0.15008170237207769	0.10274222094537774	0.1209346796633292	0.09935671662081588	0.10196696113879974	0.08490777116786137	0.06914675311743483	0.06411637647204663	0.07777133692680015	0.03620473276997715	0.05285481732765288	0.03743825603210486	0.049771578880106276	0.04697388172693183	0.05960474998613588	0.06626742837100115	0.05087046362512763
spaGCN_4	0.12118436963109441	0.0	0.39812356059096377	0.34032485700539605	0.2738138539160494	0.21951193800514449	0.25309436280016945	0.22492496523397115	0.15705098992996963	0.16957647829313513	0.1973071051699859	0.12696667146066404	0.1647277448143447	0.13998742523773036	0.1558651216108767	0.16045769489549525	0.16120404175155256	0.1377218244983652	0.1702230684394465
spaGCN_7	0.15008170237207769	0.39812356059096377	0.0	0.30021622271490134	0.3929886023544512	0.25576068127566903	0.26977863911784516	0.23991533154385908	0.11616920115624624	0.11536943167441958	0.15020904207674846	0.12973069539867996	0.14594593716414242	0.13312696011294153	0.13693067334384101	0.0937791245877616	0.10428970697084158	0.09510887456025205	0.09968414260618297
spaGCN_14	0.10274222094537774	0.34032485700539605	0.30021622271490134	0.0	0.2952665688740147	0.16079205159913135	0.1640909880909888	0.160748436838855	0.11794079046307984	0.13184522627737444	0.1476492395457688	0.09107586281989899	0.11336226402377908	0.08995336676647511	0.10289747958818939	0.11662235617898291	0.12294317675212878	0.11019123236200364	0.11833841679865975
spaGCN_13	0.1209346796633292	0.2738138539160494	0.3929886023544512	0.2952665688740147	0.0	0.21527857467877087	0.24594709070670512	0.2227870432422292	0.10262085283555865	0.09814705560352834	0.1331845520286727	0.12871152314992237	0.14838469626946166	0.14137671946884273	0.13382057141527728	0.08013603820380558	0.09445449811147637	0.09179426972437191	0.08060369251978261
scanpy_2	0.09935671662081588	0.21951193800514449	0.25576068127566903	0.16079205159913135	0.21527857467877087	0.0	0.5181890873081667	0.6791824244939155	0.06708829468284132	0.06443974179958051	0.09900619123127202	0.20869324553347907	0.2502421390036685	0.2153627952561436	0.24512509396489487	0.06185381212724656	0.05792947807297749	0.053699291682552816	0.061968683683263984
scanpy_3	0.10196696113879974	0.25309436280016945	0.26977863911784516	0.1640909880909888	0.24594709070670512	0.5181890873081667	0.0	0.5258186232596819	0.07222722508668504	0.0681953165811105	0.10230651820183523	0.1973554538262863	0.24012487209881622	0.23461168009587474	0.22396285021183318	0.06615488329186515	0.062040499687221314	0.060170897917436954	0.06422852422428181
scanpy_1	0.08490777116786137	0.22492496523397115	0.23991533154385908	0.160748436838855	0.2227870432422292	0.6791824244939155	0.5258186232596819	0.0	0.06987109570459553	0.06699667557055713	0.10543545880067466	0.20135423696436008	0.24972547772578788	0.20918241714672908	0.23147903485966748	0.0691470252456123	0.05984420632108741	0.05278619491057457	0.0678381354280627
CellCharter_2	0.06914675311743483	0.15705098992996963	0.11616920115624624	0.11794079046307984	0.10262085283555865	0.06708829468284132	0.07222722508668504	0.06987109570459553	0.0	0.5142184774431539	0.5779468916871288	0.09569643730515714	0.12549060646850038	0.11026284343009575	0.11680533183516878	0.3218429581714189	0.33308675584139874	0.3281875486649392	0.3068286764086403
CellCharter_3	0.06411637647204663	0.16957647829313513	0.11536943167441958	0.13184522627737444	0.09814705560352834	0.06443974179958051	0.0681953165811105	0.06699667557055713	0.5142184774431539	0.0	0.5638482104269266	0.1023165344688885	0.11862433995173216	0.09787836184271952	0.10481098967948928	0.3467755367918086	0.41498036279032335	0.30995816379098307	0.35484611858483706
CellCharter_1	0.07777133692680015	0.1973071051699859	0.15020904207674846	0.1476492395457688	0.1331845520286727	0.09900619123127202	0.10230651820183523	0.10543545880067466	0.5779468916871288	0.5638482104269266	0.0	0.1238415071027005	0.14968029739198258	0.13115163752275147	0.1378202879976141	0.29497878652321924	0.34298680552635585	0.30709241648808844	0.3021697726647403
SpaceFlow_2	0.03620473276997715	0.12696667146066404	0.12973069539867996	0.09107586281989899	0.12871152314992237	0.20869324553347907	0.1973554538262863	0.20135423696436008	0.09569643730515714	0.1023165344688885	0.1238415071027005	0.0	0.46623329494301435	0.672895474697341	0.48495766029190124	0.10258141077591847	0.0898280318294293	0.08555600536823137	0.10940478310653422
SpaceFlow_3	0.05285481732765288	0.1647277448143447	0.14594593716414242	0.11336226402377908	0.14838469626946166	0.2502421390036685	0.24012487209881622	0.24972547772578788	0.12549060646850038	0.11862433995173216	0.14968029739198258	0.46623329494301435	0.0	0.4879598074420787	0.7942638306336961	0.11570694138656339	0.10273904259313818	0.11121488582460447	0.11339849659197164
SpaceFlow_1	0.03743825603210486	0.13998742523773036	0.13312696011294153	0.08995336676647511	0.14137671946884273	0.2153627952561436	0.23461168009587474	0.20918241714672908	0.11026284343009575	0.09787836184271952	0.13115163752275147	0.672895474697341	0.4879598074420787	0.0	0.5175296397796424	0.09185647011385412	0.08408017347652313	0.08891400432814348	0.0952540045700703
SpaceFlow_4	0.049771578880106276	0.1558651216108767	0.13693067334384101	0.10289747958818939	0.13382057141527728	0.24512509396489487	0.22396285021183318	0.23147903485966748	0.11680533183516878	0.10481098967948928	0.1378202879976141	0.48495766029190124	0.7942638306336961	0.5175296397796424	0.0	0.10289371472592711	0.08855019902773541	0.09905257510478788	0.09952498352730142
STAGATE_12	0.04697388172693183	0.16045769489549525	0.0937791245877616	0.11662235617898291	0.08013603820380558	0.06185381212724656	0.06615488329186515	0.0691470252456123	0.3218429581714189	0.3467755367918086	0.29497878652321924	0.10258141077591847	0.11570694138656339	0.09185647011385412	0.10289371472592711	0.0	0.3846224970703166	0.3814383002907569	0.5025992911136979
STAGATE_11	0.05960474998613588	0.16120404175155256	0.10428970697084158	0.12294317675212878	0.09445449811147637	0.05792947807297749	0.062040499687221314	0.05984420632108741	0.33308675584139874	0.41498036279032335	0.34298680552635585	0.0898280318294293	0.10273904259313818	0.08408017347652313	0.08855019902773541	0.3846224970703166	0.0	0.4093175475429862	0.48966788694147434
STAGATE_10	0.06626742837100115	0.1377218244983652	0.09510887456025205	0.11019123236200364	0.09179426972437191	0.053699291682552816	0.060170897917436954	0.05278619491057457	0.3281875486649392	0.30995816379098307	0.30709241648808844	0.08555600536823137	0.11121488582460447	0.08891400432814348	0.09905257510478788	0.3814383002907569	0.4093175475429862	0.0	0.3806042073020214
STAGATE_13	0.05087046362512763	0.1702230684394465	0.09968414260618297	0.11833841679865975	0.08060369251978261	0.061968683683263984	0.06422852422428181	0.0678381354280627	0.3068286764086403	0.35484611858483706	0.3021697726647403	0.10940478310653422	0.11339849659197164	0.0952540045700703	0.09952498352730142	0.5025992911136979	0.48966788694147434	0.3806042073020214	0.0
